idPNMain,PNG,Name,PNstat,RAJ2000,DECJ2000,DRAJ2000,DDECJ2000,Glon,Glat,MajDiam,mainClass,subClass
15662,065.8-00.8,IPHASX J200041.5+283023,T,20:00:41.6,28:30:23.29,300.17321,28.50647,65.89281,-0.86695,31.0,R,a;
15663,063.5-04.7,IPHASX J200937.3+242903,T,20:09:37.3,24:29:03.37,302.40558,24.48427,63.55599,-4.70374,24.0,E,a;
15664,075.3-01.9,IPHASX J202946.0+354926,T,20:29:46.1,35:49:26.44,307.44192,35.82401,75.39280,-1.90881,16.1,R,a;r;
15666,077.4-04.0,IPHASX J204414.1+360737,T,20:44:14.2,36:07:37.24,311.05913,36.12701,77.40045,-4.06301,19.0,E,s;
15667,090.5-01.7,IPHASX J212151.8+473301,T,21:21:51.9,47:33:01.62,320.46608,47.55045,90.59183,-1.72514,29.9,B,s;
15668,114.4+00.0,IPHASX J233841.2+614146,T,23:38:41.2,61:41:46.07,354.67171,61.69613,114.42106,0.03242,61.4,E,a;r;s;
15802,030.6-16.4,Fe 4,T,19:46:30.84,-09:21:19.8,296.62850,-9.35550,30.68560,-16.44720,30.0,,
15806,086.9-03.4,Ou 5,T,21:14:20.03,43:41:36.0,318.58346,43.69333,86.91075,-3.48210,33.0,B,m;p;
15807,086.8+01.2,Zoll 1,T,20:53:50.10,46:46:49.4,313.45875,46.78039,86.80463,1.26387,50.0,E,s;
17066,093.8-00.2,LDu 18,T,21:29:52.3,50:54:21.64,322.46798,50.90601,93.86535,-0.22377,21.0,R,a;r;
17328,066.5+15.1,Ra 1,T,18:54:45.9,36:30:12.38,283.69125,36.50344,66.56888,15.12149,15.5,R,
17440,038.4+03.6,IPHASX J184834.6+063302,T,18:48:34.7,06:33:02.70,282.14442,6.55075,38.44485,3.61516,21.0,B,a;
17541,136.6+61.9,PN G136.7+61.9,T,12:07:28.4,54:01:29.21,181.86846,54.02478,136.69356,61.91317,420.0,,
17954,010.0+03.1,PNG 010.0+03.1,T,17:56:17.3,-18:42:36.00,269.07208,-18.71000,10.03982,3.13125,6.0,B,
22848,131.0+03.7,Fe 8,T,02:10:10.45,65:25:14.3,32.54354,65.42064,131.00372,3.79027,58.0,E,a;r;s;
22849,195.7-15.0,Ga 1,T,05:25:56.6,07:48:21.71,81.48596,7.80603,195.73595,-15.03540,30.0,R,
22850,056.1-03.8,RaMul 2,T,19:49:53.7,18:40:15.10,297.47375,18.67086,56.18470,-3.82797,32.0,R,
22855,086.2-01.2,Ra 5,T,21:02:38.709,44:46:44.69,315.66129,44.77908,86.29245,-1.20622,12.0,B,
22858,029.9+05.8,Pa 34,T,18:25:15.27,00:02:04.7,276.31363,0.03464,29.96774,5.83896,29.5,,
23119,330.4+01.3,Pa 72,T,16:01:10.15,-51:05:23.7,240.29229,-51.08992,330.49415,1.33644,11.0,E,a;
23123,007.4+03.1,Pa 80,T,17:50:42.43,-20:59:34.2,267.67679,-20.99283,7.40287,3.11028,20.0,E,a;
23272,262.4-01.9,DeGaPe 1,T,08:35:40.69,-43:48:30.60,128.91954,-43.80850,262.49175,-1.91970,60.0,R,r;
23274,344.4+02.1,DGPK 1,T,16:53:31.33,-40:28:43.7,253.38054,-40.47881,344.43247,2.12776,6.0,S,
23281,048.9+02.5,LDuPa 1,T,19:11:56.23,15:25:25.20,287.98428,15.42367,48.96758,2.55827,6.0,R,
23293,189.0-00.3,Ra 30,T,06:04:32.00,20:57:01.00,91.13333,20.95028,189.05494,-0.33679,70.0,E,s;
23312,102.0+00.1,Ra 50,T,22:10:45.66,56:23:13.4,332.69025,56.38706,102.01051,0.18703,17.0,R,a;r;
23313,191.2+00.9,LDu 31,T,06:13:51.06,19:37:07.8,93.46275,19.61883,191.27806,0.92990,16.0,R,
23323,345.4+04.0,Kn 100,T,16:49:01.6,-38:27:43,252.25667,-38.46194,345.43830,4.08008,9.0,S,
23324,345.5-08.1,Kn 101,T,17:43:18.0,-45:28:41,265.82500,-45.47806,345.56593,-8.18075,11.0,E,
23326,346.2-05.5,Kn 103,T,17:32:33.4,-43:29:41,263.13917,-43.49472,346.25093,-5.50850,36.0,B,a;
23332,348.5-04.0,Kn 109,T,17:32:40.3,-40:44:58,263.16792,-40.74944,348.57887,-4.04032,5.0,,
23333,350.8-07.4,Kn 110,T,17:54:17.34,-40:37:01.8,268.57225,-40.61717,350.82602,-7.47695,30.0,R,a;
23334,000.6+04.9,Kn 111,T,17:28:22.8,-25:47:28,262.09500,-25.79111,0.60504,4.91627,19.5,B,a;
23336,002.1+03.7,Kn 113,T,17:36:23.26,-25:05:28.7,264.09692,-25.09131,2.17835,3.77756,,E,
23343,007.1+06.3,Kn 120,T,17:38:28.5,-19:32:47,264.61875,-19.54639,7.15280,6.31317,22.0,B,a;
23344,058.8-16.9,Kn 121,T,20:42:01.9,13:51:15,310.50792,13.85417,58.88237,-16.96538,360.0,E,a;s;
23351,191.0+18.3,Kn 68,T,07:22:03.15,27:13:33.5,110.51313,27.22597,191.09387,18.30125,64.0,R,
23352,272.9-21.7,Kn 69,T,07:09:41.5,-62:14:24,107.42292,-62.24000,272.94043,-21.74781,67.0,R,a;r;
23354,286.0-19.9,Kn 71,T,08:16:42.47,-72:59:36.2,124.17696,-72.99339,286.08060,-19.96303,71.0,,
23356,324.3-11.9,Kn 73,T,16:39:31.6,-64:48:10,249.88167,-64.80278,324.33934,-11.90886,18.0,E,
23359,007.5-18.5,Kn 76,T,19:17:14.4,-30:28:12,289.31000,-30.47000,7.50561,-18.50581,0.9,S,
23363,015.3-11.0,Kn 80,T,18:59:52.2,-20:34:48,284.96750,-20.58000,15.31143,-11.00723,68.0,E,
23365,334.6+01.3,Kn 82,T,16:20:16.2,-48:15:22,245.06750,-48.25611,334.68650,1.31183,4.5,S,
23367,335.7+01.7,Kn 84,T,16:22:44.21,-47:12:10,245.68421,-47.20278,335.72461,1.76424,4.0,S,
23368,336.4+00.8,Kn 85,T,16:29:37.7,-47:16:17,247.40708,-47.27139,336.49062,0.87735,9.0,B,s;
23370,338.5-02.1,Kn 87,T,16:51:10.4,-47:46:42,252.79333,-47.77833,338.52344,-2.18034,3.5,S,
23371,339.4+01.0,Kn 88,T,16:40:21.2,-45:01:12,250.08833,-45.02000,339.40547,1.03017,2.5,R,
23372,341.0-02.6,Kn 89,T,17:02:39.5,-46:08:01,255.66458,-46.13361,341.03321,-2.68712,10.0,E,
23375,341.7-01.3,Kn 92,T,16:59:03.2,-44:42:48,254.76333,-44.71333,341.76536,-1.31532,5.0,R,
23376,341.8-05.6,Kn 93,T,17:19:25.9,-47:15:48,259.85792,-47.26333,341.81644,-5.67613,12.0,E,
23377,342.2-02.0,Kn 94,T,17:03:56.9,-44:50:12,255.98708,-44.83667,342.20088,-2.07713,10.0,S,
23379,342.9+05.6,Kn 96,T,16:34:30.3,-39:19:01,248.62625,-39.31694,342.92853,5.64891,9.0,E,
23383,357.4+22.8,KnPa 2,T,16:18:37.1,-17:24:15,244.65458,-17.40417,357.40860,22.88276,8.0,E,
23399,037.1-02.6,Pa 124,T,19:08:23.69,02:33:02.4,287.09871,2.55067,37.13869,-2.60390,18.0,E,a;s;
23400,045.6+01.6,Pa 125,T,19:08:52.36,12:02:41.3,287.21817,12.04481,45.62356,1.66199,3.0,E,
23407,047.6-01.2,Pa 132,T,19:23:11.53,12:28:38.5,290.79804,12.47736,47.63637,-1.23179,3.6,E,
23412,067.5+02.8,Pa 137,T,19:49:54.07,31:53:58.6,297.47529,31.89961,67.59173,2.88302,23.0,A,a;s;
23419,050.2-11.9,Pa 144,T,20:06:31.81,09:26:20.8,301.63254,9.43911,50.22145,-11.99097,27.0,R,s;
23420,064.6-04.7,Pa 145,T,20:12:15.77,25:22:13.8,303.06571,25.37050,64.62887,-4.72536,8.0,R,s;
23423,085.7+03.1a,Pa 148,T,20:41:28.3,47:06:33,310.36792,47.10917,85.73555,3.11290,6.0,E,
23424,089.6+04.0,Pa 149,T,20:51:46.9,50:46:40,312.94542,50.77778,89.66580,4.07928,8.0,E,a;r;
